class_idx,word,total,correct,accuracy,model
50,hot,0,0,,BiLSTM
52,jacket,0,0,,BiLSTM
56,later,0,0,,BiLSTM
59,man,0,0,,BiLSTM
60,many,0,0,,BiLSTM
61,medicine,0,0,,BiLSTM
63,mother,0,0,,BiLSTM
64,need,0,0,,BiLSTM
67,orange,0,0,,BiLSTM
68,paint,0,0,,BiLSTM
69,paper,0,0,,BiLSTM
70,pink,0,0,,BiLSTM
75,right,0,0,,BiLSTM
77,school,0,0,,BiLSTM
79,shirt,0,0,,BiLSTM
80,short,0,0,,BiLSTM
81,son,0,0,,BiLSTM
82,study,0,0,,BiLSTM
83,table,0,0,,BiLSTM
86,thanksgiving,0,0,,BiLSTM
88,thursday,0,0,,BiLSTM
89,time,0,0,,BiLSTM
97,wrong,0,0,,BiLSTM
99,yes,0,0,,BiLSTM
2,all,1,1,1.0,Transformer
21,clothes,1,1,1.0,Transformer
15,can,1,1,1.0,Transformer
13,brown,1,1,1.0,Transformer
8,birthday,1,1,1.0,Transformer
27,cousin,1,1,1.0,Transformer
35,drink,1,1,1.0,Transformer
58,like,1,1,1.0,Transformer
62,meet,1,1,1.0,Transformer
54,language,1,1,1.0,Transformer
55,last,1,1,1.0,Transformer
96,work,1,1,1.0,Transformer
90,walk,1,1,1.0,Transformer
85,tell,1,1,1.0,Transformer
84,tall,1,1,1.0,Transformer
49,help,1,1,1.0,Transformer
42,forget,1,1,1.0,Transformer
72,play,2,1,0.5,Transformer
98,year,2,1,0.5,Transformer
25,cool,2,1,0.5,Transformer
31,deaf,2,1,0.5,Transformer
30,dark,1,0,0.0,Transformer
26,corn,1,0,0.0,Transformer
23,computer,1,0,0.0,Transformer
7,bird,1,0,0.0,Transformer
14,but,1,0,0.0,Transformer
16,candy,1,0,0.0,Transformer
18,change,1,0,0.0,Transformer
20,city,1,0,0.0,Transformer
0,accident,1,0,0.0,Transformer
1,africa,1,0,0.0,Transformer
4,basketball,1,0,0.0,Transformer
6,before,1,0,0.0,Transformer
53,kiss,2,0,0.0,Transformer
51,how,2,0,0.0,Transformer
41,fish,1,0,0.0,Transformer
40,finish,1,0,0.0,Transformer
71,pizza,2,0,0.0,Transformer
66,now,1,0,0.0,Transformer
65,no,1,0,0.0,Transformer
57,letter,1,0,0.0,Transformer
43,full,1,0,0.0,Transformer
44,give,1,0,0.0,Transformer
76,same,1,0,0.0,Transformer
73,pull,1,0,0.0,Transformer
87,thin,2,0,0.0,Transformer
78,secretary,1,0,0.0,Transformer
74,purple,1,0,0.0,Transformer
91,want,1,0,0.0,Transformer
93,white,1,0,0.0,Transformer
92,what,1,0,0.0,Transformer
95,woman,1,0,0.0,Transformer
94,who,1,0,0.0,Transformer
3,apple,0,0,,Transformer
5,bed,0,0,,Transformer
9,black,0,0,,Transformer
10,blue,0,0,,Transformer
11,book,0,0,,Transformer
12,bowling,0,0,,Transformer
17,chair,0,0,,Transformer
19,cheat,0,0,,Transformer
22,color,0,0,,Transformer
24,cook,0,0,,Transformer
28,cow,0,0,,Transformer
29,dance,0,0,,Transformer
32,decide,0,0,,Transformer
33,doctor,0,0,,Transformer
34,dog,0,0,,Transformer
36,eat,0,0,,Transformer
37,enjoy,0,0,,Transformer
38,family,0,0,,Transformer
39,fine,0,0,,Transformer
45,go,0,0,,Transformer
46,graduate,0,0,,Transformer
47,hat,0,0,,Transformer
48,hearing,0,0,,Transformer
50,hot,0,0,,Transformer
52,jacket,0,0,,Transformer
56,later,0,0,,Transformer
59,man,0,0,,Transformer
60,many,0,0,,Transformer
61,medicine,0,0,,Transformer
63,mother,0,0,,Transformer
64,need,0,0,,Transformer
67,orange,0,0,,Transformer
68,paint,0,0,,Transformer
69,paper,0,0,,Transformer
70,pink,0,0,,Transformer
75,right,0,0,,Transformer
77,school,0,0,,Transformer
79,shirt,0,0,,Transformer
80,short,0,0,,Transformer
81,son,0,0,,Transformer
82,study,0,0,,Transformer
83,table,0,0,,Transformer
86,thanksgiving,0,0,,Transformer
88,thursday,0,0,,Transformer
89,time,0,0,,Transformer
97,wrong,0,0,,Transformer
99,yes,0,0,,Transformer
